time,hr,vo2
"0:18:28,940",176,4.49
"0:18:30,620",176,4.49
"0:18:32,240",176,4.54
"0:18:33,800",177,4.46
"0:18:35,200",177,4.51
"0:18:36,700",177,4.47
"0:18:38,240",177,4.47
"0:18:40,060",178,4.82
"0:18:41,760",178,4.76
"0:18:43,400",178,4.73
"0:18:45,060",178,4.73
"0:18:46,740",178,4.73
"0:18:48,420",178,4.70
"0:18:50,100",178,4.76
"0:18:51,620",178,4.67
"0:18:53,220",178,4.64
"0:18:55,100",177,4.76
"0:18:56,640",177,4.63
"0:18:58,160",177,4.65
"0:18:59,660",177,4.58
"0:19:01,180",177,4.51
"0:19:02,640",177,4.43
"0:19:03,940",177,4.64
"0:19:05,300",177,4.64
"0:19:06,660",177,4.64
"0:19:07,980",178,4.64
"0:19:09,340",178,4.64
"0:19:10,680",178,4.71
"0:19:12,120",178,4.66
"0:19:13,500",178,4.61
"0:19:14,960",179,4.61
"0:19:16,400",179,4.60
"0:19:17,800",179,4.60
"0:19:19,260",179,4.60
"0:19:20,640",180,4.54
"0:19:22,120",180,4.60
"0:19:23,500",180,4.60
"0:19:25,000",180,4.54
"0:19:26,460",180,4.54
"0:19:27,900",180,4.54
"0:19:29,340",180,4.61
"0:19:30,800",180,4.61
"0:19:32,300",180,4.61
"0:19:33,680",180,4.51
"0:19:35,200",180,4.51
"0:19:36,880",180,4.51
"0:19:38,480",180,4.35
"0:19:40,040",180,4.65
"0:19:41,300",180,4.87
"0:19:42,600",180,4.74
"0:19:43,900",180,4.74
"0:19:45,180",180,4.74
"0:19:46,460",180,4.69
"0:19:47,780",180,4.69
"0:19:49,160",180,4.61
"0:19:50,500",180,4.61
"0:19:51,760",180,4.60
"0:19:53,080",180,4.61
"0:19:54,520",180,4.61
"0:19:56,420",181,4.62
"0:19:58,080",181,4.62
"0:19:59,460",181,4.62
"0:20:00,780",181,4.70
"0:20:02,140",181,4.62
"0:20:03,460",181,4.62
"0:20:04,780",181,4.60
"0:20:06,280",181,4.70
"0:20:07,640",182,4.69
"0:20:09,020",182,4.68
"0:20:10,320",182,4.74
"0:20:11,620",182,4.74
"0:20:12,840",182,4.74
"0:20:14,040",182,4.64
"0:20:15,200",183,4.64
"0:20:16,400",183,4.64
"0:20:17,660",183,4.66
"0:20:18,900",183,4.71
"0:20:20,220",183,4.71
"0:20:21,480",183,4.59
"0:20:22,660",183,4.59
"0:20:23,860",184,4.71
"0:20:25,040",184,4.79
"0:20:26,360",184,4.75
"0:20:27,540",184,4.73
"0:20:28,700",184,4.68
"0:20:29,880",184,4.68
"0:20:31,060",184,4.72
"0:20:32,240",184,4.72
"0:20:33,420",184,4.72
"0:20:34,660",184,4.56
"0:20:35,880",184,4.56
"0:20:37,120",184,4.63
"0:20:38,380",184,4.64
"0:20:39,620",184,4.64
"0:20:40,820",184,4.63
"0:20:42,020",184,4.64
"0:20:43,240",184,4.63
"0:20:44,460",184,4.60
"0:20:45,680",184,4.60
"0:20:46,920",184,4.60
"0:20:48,100",184,4.48
"0:20:49,340",184,4.56
"0:20:50,540",184,4.55
"0:20:51,740",184,4.51
"0:20:52,940",184,4.49
"0:20:54,100",184,4.44
"0:20:55,380",184,4.59
"0:20:56,440",184,4.59
"0:20:57,540",184,4.59
"0:20:58,680",184,4.70
"0:20:59,840",184,4.69
"0:21:01,000",184,4.73
"0:21:02,140",184,4.73
"0:21:03,260",184,4.73
"0:21:04,420",184,4.73
"0:21:05,500",184,4.69
"0:21:06,720",184,4.69
"0:21:07,900",185,4.81
"0:21:09,020",185,4.51
"0:21:10,140",185,4.47
"0:21:11,300",185,4.56
"0:21:12,420",185,4.56
"0:21:13,740",185,4.50
"0:21:15,020",185,4.50
"0:21:16,620",185,4.49
"0:21:17,980",185,4.49
"0:21:19,300",185,4.49
"0:21:20,560",184,4.49
"0:21:21,860",183,4.43
"0:21:23,160",183,4.41
"0:21:24,400",182,4.33
"0:21:25,680",181,4.39
"0:21:26,920",181,4.37
"0:21:28,200",180,4.26
"0:21:29,460",178,4.16
"0:21:30,680",178,4.00
"0:21:31,940",177,4.00
"0:21:34,240",176,3.98
"0:21:35,460",175,3.93
"0:21:36,680",175,3.93
"0:21:37,920",174,3.57
"0:21:39,160",174,3.44
"0:21:40,380",173,3.38
"0:21:41,680",172,3.29
"0:21:42,980",172,3.27
"0:21:44,320",171,3.09
"0:21:45,620",170,2.99
"0:21:46,880",169,2.86
"0:21:48,140",169,2.79
"0:21:49,460",167,2.72
"0:21:50,820",167,2.67
"0:21:52,180",166,2.52
"0:21:53,540",165,2.43
"0:21:54,960",164,2.40
"0:21:56,360",163,2.37
"0:21:57,700",160,2.33
"0:21:59,080",159,2.33
"0:22:00,580",158,2.21
"0:22:03,980",155,2.11
"0:22:05,660",154,2.07
"0:22:07,300",154,2.07
"0:22:08,920",152,2.07
"0:22:10,600",150,2.07
"0:22:12,280",148,2.00
"0:22:13,820",146,1.69
"0:22:15,360",145,1.78
"0:22:16,840",144,1.78
"0:22:18,480",142,1.77
"0:22:19,840",141,1.77
"0:22:21,300",141,1.84
"0:22:23,200",140,1.97
"0:22:24,740",138,1.95
"0:22:26,300",138,2.00
"0:22:27,900",137,1.99
"0:22:29,600",136,1.92
"0:22:31,240",135,1.92
"0:22:33,100",134,1.97
"0:22:34,820",134,1.89
"0:22:37,240",134,1.99
"0:22:40,120",134,2.16
"0:22:41,980",134,2.21
"0:22:43,780",134,2.24
"0:22:45,600",134,2.24
"0:22:47,220",134,2.24
"0:22:48,860",133,2.29
"0:22:50,660",132,2.41
"0:22:52,180",132,2.34
"0:22:53,940",131,2.30
"0:22:55,340",131,2.13
"0:22:56,760",130,2.08
"0:22:58,480",130,2.08
"0:23:00,260",129,2.08
"0:23:02,140",128,2.12
"0:23:05,340",128,2.15
"0:23:07,460",127,2.17
"0:23:09,040",127,2.23
"0:23:10,820",126,2.23
"0:23:12,440",124,2.23
"0:23:14,840",123,2.31
"0:23:16,440",122,2.30
"0:23:18,120",122,2.30
"0:23:20,140",122,2.30
"0:23:21,260",121,2.31
"0:23:23,660",121,2.30
"0:23:24,820",121,2.33
"0:23:27,600",120,2.55
"0:23:29,120",120,2.59
"0:23:30,360",120,2.59
"0:23:31,680",120,2.59
"0:23:32,980",119,2.69
"0:23:34,180",119,2.43
"0:23:35,100",119,2.43
"0:23:37,260",118,2.68
"0:23:39,660",117,2.36
"0:23:43,960",117,1.86
"0:23:45,500",117,1.71
"0:23:46,800",117,1.78
"0:23:49,140",117,1.86
"0:23:51,660",117,1.87
"0:23:54,360",117,2.39
"0:23:56,680",118,2.29
"0:23:58,500",118,1.75
"0:23:59,940",118,1.72
"0:24:01,740",118,1.72
"0:24:02,900",118,1.78
"0:24:05,480",118,2.01
"0:24:08,000",118,1.98
"0:24:11,300",118,1.93
"0:24:13,540",118,1.93
"0:24:15,520",118,1.97
"0:24:17,480",118,2.02
"0:24:18,780",118,2.22
"0:24:20,380",118,2.24
"0:24:22,180",117,2.45
"0:24:24,560",117,2.56
"0:24:26,660",117,2.76
"0:24:28,380",116,2.56
"0:24:29,940",116,2.12
"0:24:31,520",115,1.82
"0:24:32,920",115,2.11
"0:24:35,260",115,2.11
"0:24:38,020",113,2.30
"0:24:40,320",112,2.40
"0:24:41,860",111,1.65
"0:24:44,780",111,1.65
"0:24:46,180",111,2.46
"0:24:47,560",110,2.46
"0:24:50,480",110,2.46
"0:24:51,700",109,2.23
"0:24:52,860",109,2.63
"0:24:55,540",109,2.28
"0:24:57,600",109,2.14
"0:24:59,320",109,2.02
"0:25:00,760",109,2.13
"0:25:02,420",109,2.13
"0:25:04,080",109,2.13
"0:25:05,580",109,2.02
"0:25:07,300",109,1.90
"0:25:08,760",109,1.90
"0:25:10,100",109,1.78
"0:25:11,980",109,1.72
"0:25:14,240",107,1.83
"0:25:15,960",106,1.83
"0:25:17,360",106,1.81
"0:25:19,260",106,1.81
"0:25:20,860",106,1.89
"0:25:23,040",106,1.91
"0:25:24,780",106,2.25
"0:25:26,520",106,2.20
"0:25:28,120",106,2.25
"0:25:29,580",107,1.96
"0:25:31,220",107,1.84
"0:25:32,900",107,1.84
